분류,자치구,공연/행사명,날짜/시간,장소,기관명,이용대상,이용요금,출연자정보,프로그램소개,기타내용,홈페이지 주소,대표이미지,신청일,시민/기관,시작일,종료일,테마분류,위도(Y좌표),경도(X좌표),유무료,문화포털상세URL
교육/체험,성동구,[하수도과학관] 하수와 재이용수: 날아라 물로켓 자동차(1~2학년) ,2023-07-08~2023-09-23,서울하수도과학관 ,서울하수도과학관,초1~2학년,무료,,,,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S230609102852551574,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=c26185cfca904cada42de088958cf5de&thumb=Y,2023-08-24,기관,2023-07-08,2023-09-23,기타,37.5570865,127.0580683,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142940&menuNo=200011
교육/체험,성동구,[하수도과학관] 방류수질이 궁금해!,2023-07-09~2023-09-24,서울하수도과학관,서울하수도과학관,초 3~ 6학년,무료,,,,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S230609105644484925,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=3c3e9223a8f04910801173e046a5479f&thumb=Y,2023-08-24,기관,2023-07-09,2023-09-24,기타,37.5570865,127.0580683,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142931&menuNo=200011
교육/체험,성동구,[하수도과학관] 전시해설 프로그램(전시실 + 재이용수 처리실) ,2023-01-10~2023-12-31,서울하수도과학관,서울하수도과학관,초등학생 ~ 성인 ,무료,,,,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S221219144303341678,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=37550b962d0449268ed671ec00257277&thumb=Y,2023-08-24,기관,2023-01-10,2023-12-31,어린이/청소년 문화행사,37.5570865,127.0580683,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142929&menuNo=200011
교육/체험,성동구,[하수도과학관]경복궁 화장실 속 과학원리 ,2023-07-08~2023-09-23,서울하수도과학관,서울하수도과학관,초등학생 ,무료,,,,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S230609104804534911,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e75a5f4454134d8c909f8c5eceaa8ddd&thumb=Y,2023-08-24,기관,2023-07-08,2023-09-23,기타,37.5570865,127.0580683,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142923&menuNo=200011
전시/미술,강남구,아틀리에 기획전 : 에디강 개인전,2023-08-25~2023-10-21,서울 강남구 압구정로60길 13 4층,기타,누구나,,,,,https://www.lge.co.kr/kr/business/signaturekitchen/exhibit-eddiekang-detail.do,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=070a45cf3b104c0fb68d1dc53a3cb395&thumb=Y,2023-08-24,시민,2023-08-25,2023-10-21,기타,37.52633827,127.0421284,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142909&menuNo=200009
전시/미술,중구,2023 [DDP 가을축제: 디자인&아트],2023-08-31~2023-09-30,동대문디자인플라자(DDP) 전역,동대문디자인플라자,전체관람가,,,,,https://ddp.or.kr/index.html?menuno=239&siteno=2&bbsno=487&boardno=15&bbstopno=487&act=view&subno=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=3b0ab709dfd4427e9b5e9eb09d6de6c0&thumb=Y,2023-08-24,기관,2023-08-31,2023-09-30,,37.56681313,127.0096257,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142907&menuNo=200009
교육/체험,은평구,2023 엄마아빠 행복 동행 프로젝트 [자녀와 함께 성장하는 행복한 부모 되기],2023-08-30~2023-09-06,지하 문화강좌실,은평구청,부모 및 양육자 20명,,,,,https://www.jsplib.or.kr/culture/event.asp?mode=view&lecture_seq=1771&listname=normal,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a0742f78092a4e5a9e80bdde6e8d51eb&thumb=Y,2023-08-24,기관,2023-08-30,2023-09-06,기타,37.582727,126.9075589,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142903&menuNo=200011
축제-문화/예술,용산구,2023 서울버스커 페스티벌,2023-08-25~2023-08-27,노들섬 잔디마당 등,서울시청,누구나,,,,,https://nodeul.org/,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a4968090dcd24ba3ab9add9abeca5283&thumb=Y,2023-08-24,기관,2023-08-25,2023-08-27,기타,37.51766383,126.9580365,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142900&menuNo=200010
전시/미술,강남구,NUMAZ WHOLESALE WEEK,2023-08-22~2023-08-27,슈페리어갤러리,기타,누구나,무료,,,,https://blog.naver.com/gallery3366,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=5cd88d30b7b2418193f75ad058795ac5&thumb=Y,2023-08-23,시민,2023-08-22,2023-08-27,기타,37.50809527,127.062,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142896&menuNo=200009
전시/미술,성동구,After the Wave : 파도가 부서지고 나서,2023-08-30~2023-09-03,알비(ARBY) 갤러리 3층,기타,"바다를 좋아하는 누구나, 관광객, 여행객",무료,ZEN,작가 ZEN의 첫번째 개인전. 2021년부터 3년간 수중필름 카메라로 바라본 바다의 다양한 모습들을 전시합니다. 조금 늦은 여름 휴가를 떠나는 가벼운 마음으로 놀러오세요.,,https://www.instagram.com/p/CwHGCvWvQC4/?igshid=MzRlODBiNWFlZA==,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f792ba119d7443a6a8741053eae56bf2&thumb=Y,2023-08-23,시민,2023-08-30,2023-09-03,문화가 있는 날,37.54767653,127.0424904,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142887&menuNo=200009
